epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,296.025,0.75998,3.106,0.00182,0.38762,0.84056,0.66834,0.5662,0.57722,2.36635,0.00148,0.000468772,0.000468772,0.000468772
2,661.817,0.74963,1.76442,0.00179,0.72778,0.82833,0.87966,0.77407,0.58084,0.82488,0.00149,0.000926393,0.000926393,0.000926393
3,983.528,0.73306,1.38165,0.00171,0.78456,0.83367,0.90381,0.78372,0.62606,0.92591,0.00163,0.00136515,0.00136515,0.00136515
4,1310.21,0.7213,1.15488,0.00177,0.84657,0.86836,0.93756,0.82774,0.5668,0.64689,0.00145,0.00134412,0.00134412,0.00134412
5,1693.9,0.71157,1.04827,0.00163,0.89025,0.8756,0.95216,0.84047,0.55249,0.63028,0.00141,0.00131582,0.00131582,0.00131582
6,3089.31,0.67832,0.90983,0.00158,0.87292,0.87526,0.9543,0.86124,0.49626,0.5307,0.00127,0.00128753,0.00128753,0.00128753
7,3946.36,0.65786,0.86425,0.00158,0.84283,0.89653,0.93114,0.82677,0.54932,0.58107,0.00142,0.00125923,0.00125923,0.00125923
8,4514.28,0.68227,0.81034,0.00153,0.89077,0.88345,0.96175,0.85262,0.54575,0.48083,0.0014,0.00123094,0.00123094,0.00123094
9,5139.56,0.67931,0.74448,0.00155,0.89311,0.8802,0.95828,0.851,0.53901,0.57207,0.00138,0.00120265,0.00120265,0.00120265
10,5587.78,0.66297,0.74581,0.00154,0.88547,0.8895,0.95946,0.85566,0.52265,0.61972,0.00135,0.00117435,0.00117435,0.00117435
11,6477.56,0.63842,0.70149,0.00154,0.88582,0.91751,0.97187,0.86197,0.54961,0.43935,0.00141,0.00114606,0.00114606,0.00114606
